Id,Label,timeset,label3,module,kingdom,phylum,class,order,family,genus,species,name,abun,modularity_class
Zotu1358,Zotu1358,,other,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,NA,Zotu1358,0.000225,3
Zotu13667,Zotu13667,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu13667,0.000112,5
Zotu13684,Zotu13684,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu13684,0.000192,5
Zotu13752,Zotu13752,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Ferriphaselus,uncultured bacterium,Zotu13752,0.000193,1
Zotu1386,Zotu1386,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,NA,NA,Zotu1386,0.000496,5
Zotu1142,Zotu1142,,other,2,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,NA,Zotu1142,0.000192,5
Zotu14,Zotu14,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,43F-1404R,uncultured bacterium,NA,NA,Zotu14,0.001214,11
Zotu113,Zotu113,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,NA,NA,NA,Zotu113,0.000142,11
Zotu1400,Zotu1400,,other,1,Bacteria,Verrucomicrobia,OPB35 soil group,uncultured bacterium,NA,NA,NA,Zotu1400,0.000212,11
Zotu14053,Zotu14053,,other,5,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu14053,0.000595,5
Zotu14058,Zotu14058,,other,5,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu14058,0.000375,5
Zotu141,Zotu141,,other,1,Bacteria,Chlorobi,Chlorobia,Chlorobiales,SJA-28,uncultured bacterium,NA,Zotu141,0.000119,11
Zotu14124,Zotu14124,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,uncultured soil bacterium,NA,Zotu14124,0.00048,22
Zotu14156,Zotu14156,,other,5,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,NA,Zotu14156,0.00034,5
Zotu14179,Zotu14179,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,uncultured bacterium,Zotu14179,0.000294,5
Zotu14275,Zotu14275,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,NA,Zotu14275,0.001682,5
Zotu1450,Zotu1450,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,uncultured soil bacterium,NA,Zotu1450,0.000192,5
Zotu1451,Zotu1451,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Denitratisoma,uncultured bacterium,Zotu1451,0.000232,5
Zotu1465,Zotu1465,,other,4,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,uncultured bacterium,Zotu1465,0.000204,4
Zotu14682,Zotu14682,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu14682,0.00279,5
Zotu1481,Zotu1481,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,uncultured soil bacterium,NA,Zotu1481,0.000224,5
Zotu1482,Zotu1482,,other,3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,uncultured delta proteobacterium,Zotu1482,0.000118,13
Zotu149,Zotu149,,other,3,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,NA,NA,NA,Zotu149,0.000415,7
Zotu112,Zotu112,,other,3,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,NA,NA,NA,Zotu112,0.000602,7
Zotu14902,Zotu14902,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu14902,0.000131,5
Zotu15,Zotu15,,other,1,Bacteria,Bacteroidetes,SB-5,uncultured bacterium,NA,NA,NA,Zotu15,0.015536,11
Zotu150,Zotu150,,other,1,Bacteria,Bacteroidetes,Bacteroidetes vadinHA17,uncultured bacterium,NA,NA,NA,Zotu150,0.000147,11
Zotu152,Zotu152,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Vulgatibacteraceae,Vulgatibacter,uncultured compost bacterium,Zotu152,0.003121,25
Zotu1323,Zotu1323,,other,0,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,NA,Zotu1323,0.000588,25
