"label","id","labelDiff","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu2774","Zotu2774","other","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu2774",0.000125647207296651
"Zotu279","Zotu279","diff","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",NA,"Zotu279",0.000748142218032074
"Zotu282","Zotu282","other","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured bacterium","Zotu282",0.000709425146913601
"Zotu283","Zotu283","other","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured bacterium","Zotu283",0.00089678541338245
"Zotu2839","Zotu2839","other","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured","uncultured beta proteobacterium","Zotu2839",0.000165930510962961
"Zotu285","Zotu285","diff","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","uncultured","uncultured bacterium","Zotu285",0.000661583131478684
"Zotu2888","Zotu2888","other","Bacteria","Bacteroidetes","Bacteroidetes vadinHA17","uncultured Bacteroidetes bacterium",NA,NA,NA,"Zotu2888",0.000153267081065464
"Zotu289","Zotu289","other","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncultured","uncultured bacterium","Zotu289",0.00102123353196662
"Zotu29","Zotu29","other","Bacteria","Bacteroidetes","WCHB1-32","uncultured bacterium",NA,NA,NA,"Zotu29",0.0030472483178314
"Zotu291","Zotu291","other","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia Incertae Sedis","Draconibacteriaceae","uncultured",NA,"Zotu291",0.00126706393004878
"Zotu292","Zotu292","other","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA,"Zotu292",0.000710665397277838
"Zotu294","Zotu294","other","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","4-29","uncultured bacterium",NA,"Zotu294",0.000897296359413246
"Zotu296","Zotu296","other","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","uncultured","uncultured bacterium","Zotu296",0.000200123506965377
